id,name,category,subcategory,address,lat,lng,phone,operating_hours,status,source_date
1,인도래작은도서관,작은도서관,,"수원시 팔달구 장다리로 258, 1층(인계동)",37.2724927,127.0273976,031-5191-7837,,영업,2025-09-05
2,도담어린이작은도서관,작은도서관,,수원시 팔달구 창룡대로 103번길 69(매향동),37.2857375,127.0219042,031-5191-3848,,영업,2025-09-05
3,경기남부경찰청 작은도서관,작은도서관,,"수원시 장안구 창룡대로 223(연무동, 경기남부경찰청)",37.2947126,127.0336977,031-888-3321,,영업,2025-09-05
4,대추동이 작은도서관,작은도서관,,"수원시 장안구 송정로187번길 35-1(조원동, 영화새마을금고) 지하+수원시 장안구 조원로 89번길8 (조원동, 202) : 변경등록 미신고",37.2999476,127.0150643,031-242-9855,,영업,2025-09-05
5,두견마을작은도서관,작은도서관,,"수원시 장안구 수성로245번길 21(정자동, 두견마을영남우방한솔아파트) 관리동2층",37.2909439,126.997594,031-268-4004,,영업,2025-09-05
6,샬롬작은도서관,작은도서관,,"수원시 장안구 대평로51번길 22(정자동, 꽃뫼마을신안아파트) 상가동 지하1층(화평교회)",37.2931971,126.9930983,070-4001-0191,,영업,2025-09-05
7,솔로몬작은도서관,작은도서관,,수원시 장안구 상률로46번길 3(율전동) 유영타운 301호(은혜교회),37.3057437,126.9710758,031-252-3217,,영업,2025-09-05
8,솔향기작은도서관,작은도서관,,수원시 장안구 만석로 231(송죽동) 2층 (사)경기시민사회포럼,37.3067602,127.0024558,031-252-1330,,영업,2025-09-05
9,수원 열린도서관,작은도서관,,수원시 장안구 장안로 29(영화동) 삼일프라자 201호(수원열린장로교회),37.2876178,127.0054396,070-8947-1375,,영업,2025-09-05
10,예닮 작은도서관,작은도서관,,수원시 장안구 하률로 12번길 86(천천동) 골든프라자 403호(예닮교회),37.3009376,126.9772685,031-271-5591,,영업,2025-09-05
11,작은도서관 닮,작은도서관,,수원시 장안구 파장로 21번길 12-14(파장동) 1층,37.3045089,126.9971258,070-4327-0211,,영업,2025-09-05
12,푸르지오더에듀포레글터 작은도서관,작은도서관,,"수원시 장안구 화산로 85(천천동, 화서역푸르지오더에듀포레아파트) 2층",37.2922355,126.9805555,031-278-3722,,영업,2025-09-05
13,향기샘작은도서관,작은도서관,,"수원시 장안구 광교산로 42, 2층(영화동, 예수향기교회)",37.2949303,127.022779,031-294-9875,,영업,2025-09-05
14,행복나무작은도서관,작은도서관,,"수원시 장안구 만석로 228, 201호(송죽동)",37.3063493,127.0025187,070-8648-2737,,영업,2025-09-05
15,LH가온마을작은도서관,작은도서관,,"수원시 권선구 금곡로 137(금곡동, 수원호매실휴먼시아4단지) 관리사무소 2층",37.2746917,126.9470888,031-294-5101,,영업,2025-09-05
16,LH수원당수1단지 작은도서관,작은도서관,,수원시 권선구 당수로 130번길 13(당수동) 커뮤니티센터 2층,37.2865115,126.9443173,031-502-2514,,영업,2025-09-05
17,가온책마루 작은도서관,작은도서관,,"수원시 권선구 서수원로577번길 263(금곡동, 가온마을3단지)",37.276008,126.9426902,031-278-4946,,영업,2025-09-05
18,꿈꾸는 작은도서관,작은도서관,,"수원시 권선구 입북로47(입북동), 성지빌딩 4층",37.2958971,126.9588837,031-292-0604,,영업,2025-09-05
