id,name,category,subcategory,address,lat,lng,phone,operating_hours,status,source_date
1,광교노인복지관 2층,공중화장실,공중화장실,경기도 수원시 영통구 센트럴타운로 22(이의동),37.2894164551,127.0570407171,,정시,영업,20231219
2,서호잔디광장,공중화장실,공중화장실,경기도 수원시 권선구 금호로 318,37.2762865576,126.9844079769,,상시,영업,20231219
3,서호지구대,공중화장실,공중화장실,경기도 수원시 권선구 구운로73번길 18-13 (구운동),37.2807725174,126.9714725255,,상시,영업,20231219
4,선경도서관,공중화장실,공중화장실,경기도 수원시 팔달구 신풍로23번길 68(신풍동),37.2838875367,127.0104150944,,정시,영업,20231219
5,선주리들,공중화장실,공중화장실,경기도 수원시 영통구 동탄원천로881번길 5,37.25350501,127.0428397783,,정시,영업,20231219
6,성균관대역,공중화장실,공중화장실,"경기도 수원시 장안구 서부로 2149, 성대역사 (율전동)",37.3001829323,126.9722619647,,정시,영업,20231219
7,성빈센트병원(병동약국 앞),공중화장실,공중화장실,"경기도 수원시 팔달구 중부대로 93, 성빈센트병원 (지동)",37.2778994265,127.0274529236,,정시,영업,20231219
8,세광상사(주) 행복주유소,공중화장실,공중화장실,경기도 수원시 권선구 수인로 379 (구운동),37.2882029166,126.9641101006,,정시,영업,20231219
9,세류1동행정복지센터,공중화장실,공중화장실,경기도 수원시 권선구 세류로38번길 10(세류동),37.2621899095,127.0079729847,,정시,영업,20231219
10,세류2동행정복지센터,공중화장실,공중화장실,경기도 수원시 권선구 덕영대로 1107(세류동),37.253377362,127.0130821255,,정시,영업,20231219
11,세류3동행정복지센터,공중화장실,공중화장실,경기도 수원시 권선구 정조로 557(세류동),37.2590514971,127.0119517107,,정시,영업,20231219
12,세류동우체국,공중화장실,공중화장실,경기도 수원시 권선구 덕영대로 1084(세류동),37.2540509177,127.0102924963,,정시,영업,20231219
13,솔대,공중화장실,공중화장실,경기도 수원시 권선구 오목천로152번길 29(고색동),37.2437104073,126.9782821898,,정시,영업,20231219
14,솔밭주유소,공중화장실,공중화장실,경기도 수원시 장안구 장안로 357(정자동),37.3125104323,126.9858083332,,정시,영업,20231219
15,수원병원장례식장지하외부,공중화장실,공중화장실,"경기도 수원시 장안구 수성로245번길 69, 경기도립수원의료원 (정자동)",37.2918869067,126.9963395675,,정시,영업,20231219
16,솔숲(매탄공원),공중화장실,공중화장실,경기도 수원시 영통구 매탄로 185(매탄동),37.2678216313,127.0458210094,,상시,영업,20231219
17,솟대,공중화장실,공중화장실,경기도 수원시 장안구 천천로 136,37.3035363118,126.9825181324,,상시,영업,20231219
18,송죽동행정복지센터,공중화장실,공중화장실,경기도 수원시 장안구 경기도 수원시 장안구 송원로41번길 16-21(송죽동),37.3005312797,127.0070576011,,정시,영업,20231219
19,수롱이,공중화장실,공중화장실,경기도 수원시 장안구 만석로65(정자동),37.2978570353,126.9886160241,,상시,영업,20231219
